Name                                 Publisher                                             Version
oneAgentWindows                      dynatrace.ruxit                                       1.200.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.201.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.203.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.204.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.205.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.206.0.0
oneAgentWindows                      dynatrace.ruxit                                       1.99.1.3
oneAgentWindows                      dynatrace.ruxit                                       2.163.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.173.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.182.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.183.0.0
oneAgentWindows                      dynatrace.ruxit                                       2.2.0.2
oneAgentWindows                      dynatrace.ruxit                                       2.3.0.2
ElasticAgent.linux                   Elastic                                               1.1.0.0
ElasticAgent.linux                   Elastic                                               1.1.1.0
ElasticAgent.windows                 Elastic                                               1.1.0.0
ElasticAgent.windows                 Elastic                                               1.1.1.0
FileSecurity                         ESET                                                  6.5.12017.1000
FileSecurity                         ESET                                                  7.0.12014.1002
FileSecurity                         ESET                                                  7.0.12018.1001
FileSecurity                         ESET                                                  7.1.12006.1000
FileSecurity                         ESET                                                  7.2.12004.1000
ProtectVClientLinuxExtension         Gemalto.SafeNet.ProtectV                              3.0.0.205
ProtectVClientWindowsExtension       Gemalto.SafeNet.ProtectV                              3.0.0.318
DotnetAgent                          HPE.Security.ApplicationDefender                      1.0.0.2
DotnetAgent                          HPE.Security.ApplicationDefender                      1.0.0.4
DotnetAgent                          HPE.Security.ApplicationDefender                      1.6.13.0
DotnetAgent                          HPE.Security.ApplicationDefender                      1.6.14.0
DotnetAgent                          HPE.Security.ApplicationDefender                      1.6.9.0
HostedKESL                           KasperskyLab.SecurityAgent                            11.1.0.6
HostedKSWS                           KasperskyLab.SecurityAgent                            11.0.0.3
SecurityInventoryExtension           KevlarExtensions.M365SecurityInventory                1.0.0.0
SecurityInventoryExtension           KevlarExtensions.M365SecurityInventory                1.0.0.3
